year,,year,donor,recipient,amount
1979,310,1979,Netherlands,Colombia,837670.0
1979,324,1979,United Kingdom,Thailand,349697.0
1979,313,1979,Norway,Brazil,347802.0
1979,289,1979,Canada,Thailand,289836.0
1979,304,1979,Japan,Korea,288021.0
1979,286,1979,Canada,Chile,86951.0
1979,295,1979,Germany,Colombia,58414.0
1979,315,1979,Norway,Thailand,38555.0
1979,320,1979,Switzerland,Korea,10725.0
1980,386,1980,United States,Korea,1960370990.0
1980,382,1980,United States,India,827535822.0
1980,354,1980,Japan,Thailand,737141314.0
1980,352,1980,Japan,Korea,603115621.0
1980,368,1980,United Kingdom,India,559083941.0
1980,345,1980,Germany,India,501966105.0
1980,359,1980,Netherlands,India,342786026.0
1980,351,1980,Japan,India,275850351.0
1980,338,1980,France,Brazil,180186142.0
1980,340,1980,France,India,163389683.0
1980,350,1980,Japan,Colombia,155726056.0
1980,373,1980,United States,Brazil,145525645.0
1980,335,1980,Canada,India,126199840.0
1980,396,1980,United States,Thailand,116833317.0
1980,392,1980,United States,Saudi Arabia,109536915.0
1980,337,1980,Denmark,India,96585940.0
1980,389,1980,United States,Poland,75000451.0
1980,346,1980,Germany,Korea,62276813.0
1980,376,1980,United States,Colombia,56026972.0
1980,361,1980,Norway,India,41738095.0
1980,348,1980,Japan,Brazil,41185110.0
1980,343,1980,Germany,Colombia,35615424.0
1980,342,1980,Germany,Brazil,24779394.0
1980,347,1980,Germany,Thailand,16988753.0
1980,329,1980,Australia,India,13913627.0
1980,375,1980,United States,Chile,11774935.0
1980,363,1980,Sweden,India,10679246.0
1980,353,1980,Japan,Saudi Arabia,10634950.0
1980,330,1980,Australia,Thailand,9370163.0
1980,341,1980,France,Thailand,8577958.0
1980,365,1980,Switzerland,India,8516627.0
1980,334,1980,Canada,Colombia,7838499.0
1980,369,1980,United Kingdom,Thailand,5816612.0
1980,336,1980,Canada,Thailand,5225667.0
1980,356,1980,Netherlands,Brazil,3572974.0
1980,349,1980,Japan,Chile,2722041.0
1980,357,1980,Netherlands,Chile,2721410.0
1980,331,1980,Austria,Brazil,2342109.0
1980,360,1980,Netherlands,Thailand,1854253.0
1980,358,1980,Netherlands,Colombia,1693536.0
1980,366,1980,Switzerland,Thailand,1044216.0
1980,364,1980,Switzerland,Colombia,467809.0
1980,332,1980,Austria,Saudi Arabia,203662.0
1981,426,1981,Japan,India,995747795.0
1981,427,1981,Japan,Korea,884141303.0
1981,467,1981,United States,Korea,768458732.0
1981,429,1981,Japan,Thailand,693574782.0
1981,463,1981,United States,India,679013230.0
1981,408,1981,Canada,India,535405538.0
1981,419,1981,Germany,India,444408202.0
1981,472,1981,United States,Saudi Arabia,402162447.0
1981,456,1981,United States,Brazil,317322393.0
1981,476,1981,United States,Thailand,305289057.0
1981,424,1981,Japan,Brazil,281880922.0
1981,438,1981,Netherlands,India,262181709.0
1981,415,1981,Germany,Brazil,237866520.0
1981,431,1981,Kuwait,India,233253222.0
1981,412,1981,France,Brazil,177414313.0
1981,410,1981,Denmark,India,175067649.0
1981,444,1981,Sweden,India,151343486.0
1981,459,1981,United States,Colombia,100849078.0
1981,414,1981,France,India,97587631.0
1981,425,1981,Japan,Colombia,71275453.0
1981,432,1981,Kuwait,Thailand,65310902.0
