year,,year,donor,recipient,amount
1994,1558,1994,Sweden,Chile,5899989.0
1994,1468,1994,Canada,South Africa,5666952.0
1994,1556,1994,Norway,Thailand,5657849.0
1994,1500,1994,France,Saudi Arabia,5606440.0
1994,1482,1994,Finland,Poland,5503634.0
1994,1457,1994,Canada,Chile,5383430.0
1994,1602,1994,United States,Kuwait,5311157.0
1994,1578,1994,United Kingdom,Chile,5235969.0
1994,1465,1994,Canada,Poland,4954950.0
1994,1510,1994,Germany,Poland,4892069.0
1994,1493,1994,France,Korea,4870792.0
1994,1455,1994,Belgium,Thailand,4859380.0
1994,1551,1994,Norway,Brazil,4766579.0
1994,1577,1994,United Kingdom,Brazil,4760827.0
1994,1469,1994,Canada,Thailand,4017695.0
1994,1439,1994,Australia,South Africa,3791713.0
1994,1503,1994,France,South Africa,2674291.0
1994,1570,1994,Switzerland,Brazil,2638357.0
1994,1470,1994,Denmark,Chile,2369173.0
1994,1572,1994,Switzerland,Colombia,2333232.0
1994,1545,1994,Netherlands,Chile,2072779.0
1994,1544,1994,Netherlands,Brazil,2008377.0
1994,1571,1994,Switzerland,Chile,1698311.0
1994,1579,1994,United Kingdom,Colombia,1557148.0
1994,1494,1994,France,Kuwait,1549639.0
1994,1445,1994,Belgium,Colombia,1453022.0
1994,1484,1994,Finland,Thailand,1378530.0
1994,1553,1994,Norway,Colombia,1293147.0
1994,1479,1994,Finland,India,1287498.0
1994,1515,1994,Italy,Colombia,1097052.0
1994,1514,1994,Italy,Chile,1047878.0
1994,1520,1994,Italy,India,1024824.0
1994,1559,1994,Sweden,Colombia,858581.0
1994,1537,1994,Japan,Poland,667008.0
1994,1533,1994,Japan,Colombia,656586.0
1994,1540,1994,Japan,South Africa,656585.0
1994,1450,1994,Belgium,Poland,475375.0
1994,1477,1994,Finland,Chile,330885.0
1994,1471,1994,Denmark,Colombia,200450.0
1994,1550,1994,Netherlands,Thailand,142666.0
1994,1453,1994,Belgium,South Africa,112408.0
1994,1530,1994,Italy,Thailand,109804.0
1994,1521,1994,Italy,Korea,95457.0
1994,1526,1994,Italy,Saudi Arabia,76374.0
1994,1512,1994,Germany,Thailand,72707.0
1994,1442,1994,Austria,Thailand,71436.0
1994,1575,1994,Switzerland,Thailand,71412.0
1994,1529,1994,Italy,South Africa,40948.0
1994,1449,1994,Belgium,Korea,24877.0
1994,1476,1994,Finland,Brazil,23434.0
1995,1683,1995,Germany,Poland,2961493557.0
1995,1711,1995,Japan,India,1390436248.0
1995,1687,1995,Italy,Brazil,1385564802.0
1995,1714,1995,Japan,Thailand,650496061.0
1995,1706,1995,Japan,Brazil,551330659.0
1995,1769,1995,United States,Brazil,525710275.0
1995,1771,1995,United States,Colombia,510554090.0
1995,1775,1995,United States,India,420192553.0
1995,1779,1995,United States,Poland,349748651.0
1995,1776,1995,United States,Kuwait,278059881.0
1995,1682,1995,Germany,India,238128838.0
1995,1770,1995,United States,Chile,234507362.0
1995,1759,1995,United Kingdom,India,219268015.0
1995,1718,1995,Netherlands,India,214678430.0
1995,1783,1995,United States,South Africa,187885063.0
1995,1744,1995,Sweden,South Africa,85483065.0
1995,1766,1995,United Kingdom,South Africa,70865219.0
1995,1738,1995,Sweden,India,69853515.0
1995,1679,1995,Germany,Brazil,62873458.0
1995,1721,1995,Netherlands,South Africa,57692878.0
1995,1608,1995,Australia,South Africa,48604435.0
1995,1640,1995,Canada,South Africa,47416997.0
1995,1658,1995,France,Chile,42659144.0
1995,1644,1995,Denmark,South Africa,40499775.0
1995,1607,1995,Australia,India,38659289.0
1995,1784,1995,United States,Thailand,37538084.0
1995,1731,1995,Norway,South Africa,36232060.0
1995,1632,1995,Canada,India,34161462.0
1995,1749,1995,Switzerland,India,31385878.0
1995,1686,1995,Germany,Thailand,30274660.0
1995,1763,1995,United Kingdom,Poland,28591876.0
1995,1675,1995,France,South Africa,28360024.0
1995,1733,1995,Spain,Colombia,24737384.0
1995,1707,1995,Japan,Chile,22035590.0
1995,1645,1995,Denmark,Thailand,19752198.0
1995,1669,1995,France,Poland,18157973.0
1995,1730,1995,Norway,India,15625919.0
1995,1628,1995,Canada,Colombia,14753971.0
1995,1657,1995,France,Brazil,14346672.0
1995,1666,1995,France,Kuwait,13537227.0
1995,1767,1995,United Kingdom,Thailand,13242500.0
1995,1643,1995,Denmark,India,12618944.0
1995,1732,1995,Norway,Thailand,11653192.0
1995,1626,1995,Canada,Brazil,11257005.0
1995,1739,1995,Sweden,Kuwait,10943155.0
1995,1610,1995,Belgium,Brazil,9486847.0
1995,1641,1995,Canada,Thailand,9048630.0
1995,1664,1995,France,India,8630944.0
1995,1636,1995,Canada,Poland,8361275.0
1995,1611,1995,Belgium,Chile,8088210.0
1995,1681,1995,Germany,Colombia,8067210.0
1995,1685,1995,Germany,South Africa,8008746.0
1995,1742,1995,Sweden,Poland,7642283.0
1995,1659,1995,France,Colombia,7382932.0
1995,1616,1995,Belgium,India,7342655.0
1995,1672,1995,France,Saudi Arabia,7274688.0
1995,1625,1995,Belgium,Thailand,7225732.0
1995,1623,1995,Belgium,South Africa,7113314.0
1995,1717,1995,Netherlands,Colombia,6190938.0
1995,1734,1995,Sweden,Chile,6131477.0
1995,1727,1995,Norway,Brazil,4721420.0
1995,1655,1995,Finland,South Africa,4720375.0
1995,1753,1995,United Kingdom,Brazil,4556365.0
1995,1722,1995,Netherlands,Thailand,4222702.0
1995,1612,1995,Belgium,Colombia,3974245.0
1995,1728,1995,Norway,Chile,3519287.0
1995,1665,1995,France,Korea,3468009.0
1995,1677,1995,France,Thailand,3275085.0
1995,1755,1995,United Kingdom,Colombia,3078086.0
1995,1627,1995,Canada,Chile,2944682.0
1995,1745,1995,Sweden,Thailand,2611288.0
1995,1689,1995,Italy,Colombia,2497827.0
1995,1694,1995,Italy,India,2430248.0
1995,1609,1995,Austria,Thailand,2349112.0
1995,1754,1995,United Kingdom,Chile,2270774.0
1995,1746,1995,Switzerland,Brazil,2252988.0
1995,1729,1995,Norway,Colombia,2180098.0
1995,1688,1995,Italy,Chile,1802785.0
1995,1748,1995,Switzerland,Colombia,1348184.0
1995,1747,1995,Switzerland,Chile,1239916.0
1995,1751,1995,Switzerland,South Africa,1229605.0
1995,1713,1995,Japan,South Africa,1154795.0
1995,1708,1995,Japan,Colombia,1049814.0
1995,1735,1995,Sweden,Colombia,977067.0
1995,1654,1995,Finland,Poland,745061.0
1995,1698,1995,Italy,Poland,710151.0
1995,1715,1995,Netherlands,Brazil,645773.0
1995,1716,1995,Netherlands,Chile,643122.0
1995,1705,1995,Italy,Thailand,602389.0
1995,1642,1995,Denmark,Brazil,580370.0
1995,1618,1995,Belgium,Poland,571650.0
1995,1651,1995,Finland,India,536013.0
1995,1646,1995,Finland,Brazil,504324.0
1995,1760,1995,United Kingdom,Korea,348521.0
1995,1752,1995,Switzerland,Thailand,287424.0
1995,1647,1995,Finland,Chile,162926.0
1995,1700,1995,Italy,Saudi Arabia,114091.0
1995,1648,1995,Finland,Colombia,74737.0
1995,1719,1995,Netherlands,Korea,61838.0
1995,1695,1995,Italy,Korea,54655.0
1995,1617,1995,Belgium,Korea,13654.0
1995,1620,1995,Belgium,Saudi Arabia,9103.0
1995,1703,1995,Italy,South Africa,7279.0
1995,1656,1995,Finland,Thailand,7175.0
1995,1680,1995,Germany,Chile,6407.0
1995,1633,1995,Canada,Korea,928.0
1996,1892,1996,Japan,India,1680853374.0
1996,1952,1996,United States,Brazil,1655709626.0
1996,1897,1996,Japan,Thailand,1252667438.0
1996,1944,1996,United Kingdom,India,802172641.0
1996,1954,1996,United States,Colombia,629411170.0
1996,1959,1996,United States,India,624683104.0
1996,1896,1996,Japan,South Africa,401142248.0
1996,1960,1996,United States,Korea,357235548.0
1996,1889,1996,Japan,Colombia,324984552.0
1996,1906,1996,Netherlands,India,289535074.0
1996,1962,1996,United States,Poland,278374329.0
1996,1965,1996,United States,Thailand,247758370.0
1996,1861,1996,Germany,India,243003156.0
1996,1964,1996,United States,South Africa,193020598.0
1996,1822,1996,Denmark,India,167031974.0
1996,1811,1996,Canada,India,107700912.0
1996,1844,1996,France,India,103454481.0
1996,1887,1996,Japan,Brazil,83835752.0
1996,1859,1996,Germany,Brazil,77195904.0
1996,1855,1996,France,South Africa,72017596.0
1996,1950,1996,United Kingdom,South Africa,61395112.0
1996,1824,1996,Denmark,Thailand,56373661.0
1996,1816,1996,Canada,South Africa,45112428.0
1996,1918,1996,Spain,Colombia,41887270.0
1996,1787,1996,Australia,Thailand,39897557.0
1996,1868,1996,Germany,South Africa,39881632.0
1996,1929,1996,Sweden,South Africa,37276007.0
1996,1923,1996,Sweden,India,36331597.0
1996,1785,1996,Australia,India,35654315.0
1996,1953,1996,United States,Chile,34107930.0
1996,1934,1996,Switzerland,India,33088322.0
1996,1908,1996,Netherlands,South Africa,30405042.0
1996,1915,1996,Norway,South Africa,28248370.0
1996,1865,1996,Germany,Poland,25669428.0
1996,1936,1996,Switzerland,South Africa,24514168.0
1996,1806,1996,Canada,Brazil,24327138.0
1996,1808,1996,Canada,Colombia,23623977.0
1996,1849,1996,France,Poland,23307599.0
1996,1938,1996,United Kingdom,Brazil,22533613.0
1996,1946,1996,United Kingdom,Poland,22173361.0
1996,1930,1996,Sweden,Thailand,21156771.0
1996,1823,1996,Denmark,South Africa,20608225.0
1996,1837,1996,France,Brazil,19878363.0
1996,1817,1996,Canada,Thailand,19436164.0
1996,1913,1996,Norway,India,17686153.0
1996,1839,1996,France,Colombia,13267166.0
1996,1869,1996,Germany,Thailand,8099999.0
1996,1857,1996,France,Thailand,7608178.0
1996,1916,1996,Norway,Thailand,7524548.0
1996,1838,1996,France,Chile,7446340.0
1996,1793,1996,Austria,Korea,7229969.0
1996,1804,1996,Belgium,South Africa,6408097.0
1996,1835,1996,Finland,South Africa,6403479.0
1996,1905,1996,Netherlands,Colombia,5903808.0
1996,1805,1996,Belgium,Thailand,5829499.0
1996,1912,1996,Norway,Colombia,5244722.0
1996,1877,1996,Italy,India,5099795.0
1996,1870,1996,Italy,Brazil,4989727.0
1996,1786,1996,Australia,South Africa,4916150.0
1996,1845,1996,France,Korea,4743707.0
1996,1910,1996,Norway,Brazil,4716398.0
1996,1871,1996,Italy,Chile,4688913.0
1996,1926,1996,Sweden,Poland,4574001.0
1996,1799,1996,Belgium,Brazil,4268285.0
1996,1800,1996,Belgium,Chile,3953595.0
1996,1802,1996,Belgium,India,3591744.0
1996,1932,1996,Switzerland,Chile,3121843.0
1996,1911,1996,Norway,Chile,3031723.0
1996,1788,1996,Austria,Brazil,3019247.0
1996,1921,1996,Sweden,Colombia,2813765.0
1996,1798,1996,Austria,Thailand,2720683.0
1996,1920,1996,Sweden,Chile,2689377.0
1996,1807,1996,Canada,Chile,2636652.0
1996,1796,1996,Austria,South Africa,2434991.0
1996,1813,1996,Canada,Poland,2346691.0
1996,1852,1996,France,Saudi Arabia,2247472.0
1996,1801,1996,Belgium,Colombia,1750301.0
1996,1789,1996,Austria,Chile,1636888.0
1996,1834,1996,Finland,Poland,1488273.0
1996,1931,1996,Switzerland,Brazil,1428096.0
1996,1904,1996,Netherlands,Chile,1268839.0
1996,1909,1996,Netherlands,Thailand,1264479.0
1996,1790,1996,Austria,Colombia,1107864.0
1996,1888,1996,Japan,Chile,1018744.0
1996,1933,1996,Switzerland,Colombia,996336.0
1996,1792,1996,Austria,India,950616.0
1996,1872,1996,Italy,Colombia,947321.0
1996,1881,1996,Italy,Poland,732292.0
1996,1903,1996,Netherlands,Brazil,569452.0
1996,1846,1996,France,Kuwait,568353.0
1996,1893,1996,Japan,Poland,527847.0
1996,1951,1996,United Kingdom,Thailand,509745.0
1996,1826,1996,Finland,Chile,423677.0
1996,1831,1996,Finland,India,328261.0
1996,1862,1996,Germany,Korea,319925.0
1996,1937,1996,Switzerland,Thailand,301019.0
1996,1940,1996,United Kingdom,Colombia,295763.0
1996,1885,1996,Italy,South Africa,294700.0
1996,1939,1996,United Kingdom,Chile,171409.0
1996,1794,1996,Austria,Saudi Arabia,116051.0
1996,1886,1996,Italy,Thailand,111433.0
1996,1919,1996,Sweden,Brazil,81418.0
1996,1836,1996,Finland,Thailand,75014.0
1996,1914,1996,Norway,Saudi Arabia,45485.0
1996,1863,1996,Germany,Kuwait,43771.0
1996,1827,1996,Finland,Colombia,30006.0
1996,1878,1996,Italy,Korea,28577.0
1996,1907,1996,Netherlands,Korea,26162.0
1996,1860,1996,Germany,Colombia,17508.0
1996,1825,1996,Finland,Brazil,15003.0
1997,2069,1997,Japan,Thailand,6151077085.0
1997,2064,1997,Japan,India,2821771782.0
1997,2059,1997,Japan,Brazil,1452247130.0
1997,2136,1997,United States,Korea,1011662625.0
1997,2038,1997,Germany,India,620287092.0
1997,2135,1997,United States,India,509374460.0
1997,2129,1997,United States,Brazil,490090461.0
1997,2121,1997,United Kingdom,India,432279305.0
1997,2127,1997,United Kingdom,South Africa,279668892.0
1997,2138,1997,United States,Poland,263661358.0
1997,2141,1997,United States,South Africa,104500885.0
1997,2075,1997,Netherlands,India,103406768.0
1997,2042,1997,Germany,Thailand,79738618.0
1997,2142,1997,United States,Thailand,79407360.0
1997,2102,1997,Sweden,South Africa,76900471.0
1997,2109,1997,Switzerland,India,68700254.0
1997,1991,1997,Canada,India,65794272.0
1997,2130,1997,United States,Chile,64351138.0
1997,2020,1997,France,India,56490290.0
1997,1966,1997,Australia,India,55356219.0
1997,2003,1997,Denmark,South Africa,43070476.0
1997,2077,1997,Netherlands,South Africa,42719695.0
1997,2060,1997,Japan,Chile,41768030.0
1997,2036,1997,Germany,Chile,40697486.0
1997,2083,1997,Norway,South Africa,36513027.0
1997,2088,1997,Spain,Colombia,35833061.0
1997,2035,1997,Germany,Brazil,33781110.0
1997,1967,1997,Australia,South Africa,32919811.0
1997,2013,1997,France,Brazil,21657801.0
1997,2004,1997,Denmark,Thailand,18935339.0
1997,2101,1997,Sweden,Poland,18156094.0
1997,2113,1997,Switzerland,South Africa,17614290.0
1997,2002,1997,Denmark,India,17376138.0
1997,2068,1997,Japan,South Africa,16570784.0
1997,2082,1997,Norway,India,16549307.0
1997,2098,1997,Sweden,India,15295803.0
1997,1998,1997,Canada,South Africa,13192479.0
1997,2074,1997,Netherlands,Colombia,12605545.0
1997,2025,1997,France,Poland,12601952.0
1997,2015,1997,France,Colombia,12431111.0
1997,2086,1997,Spain,Brazil,12289824.0
1997,1983,1997,Belgium,South Africa,11770108.0
1997,1987,1997,Canada,Colombia,11224395.0
1997,1968,1997,Australia,Thailand,10809241.0
1997,2081,1997,Norway,Colombia,8789605.0
1997,2031,1997,France,South Africa,8715046.0
1997,2087,1997,Spain,Chile,8035714.0
1997,2014,1997,France,Chile,7577662.0
1997,1984,1997,Belgium,Thailand,7327826.0
1997,2033,1997,France,Thailand,7173154.0
1997,2103,1997,Sweden,Thailand,6251269.0
1997,2073,1997,Netherlands,Chile,5878397.0
1997,1978,1997,Belgium,Brazil,5353930.0
1997,2011,1997,Finland,South Africa,5226405.0
1997,2040,1997,Germany,Poland,5012607.0
1997,2089,1997,Spain,India,4818386.0
1997,1981,1997,Belgium,India,4534880.0
1997,2079,1997,Norway,Brazil,4525668.0
1997,2021,1997,France,Korea,4501775.0
1997,2106,1997,Switzerland,Colombia,4305138.0
1997,2123,1997,United Kingdom,Poland,3880624.0
1997,2115,1997,United Kingdom,Brazil,3516037.0
1997,1999,1997,Canada,Thailand,3401854.0
1997,1985,1997,Canada,Brazil,3220936.0
1997,1986,1997,Canada,Chile,3160422.0
1997,1974,1997,Austria,Korea,3101322.0
1997,1979,1997,Belgium,Chile,3074350.0
1997,2080,1997,Norway,Chile,2875979.0
1997,2084,1997,Norway,Thailand,2744604.0
1997,1976,1997,Austria,South Africa,2553670.0
1997,1980,1997,Belgium,Colombia,2498500.0
1997,2096,1997,Sweden,Colombia,2465709.0
1997,2028,1997,France,Saudi Arabia,2117530.0
1997,2043,1997,Italy,Brazil,2099938.0
1997,1969,1997,Austria,Brazil,1973545.0
1997,2041,1997,Germany,South Africa,1965796.0
1997,2104,1997,Switzerland,Brazil,1854285.0
1997,2045,1997,Italy,Colombia,1474707.0
1997,2053,1997,Italy,Poland,1463235.0
1997,1994,1997,Canada,Poland,1435752.0
1997,2078,1997,Netherlands,Thailand,1398445.0
1997,2110,1997,Switzerland,Poland,1284773.0
1997,2128,1997,United Kingdom,Thailand,1057134.0
1997,2065,1997,Japan,Poland,1017965.0
1997,2105,1997,Switzerland,Chile,1012605.0
1997,1973,1997,Austria,India,930397.0
1997,2037,1997,Germany,Colombia,928544.0
1997,2116,1997,United Kingdom,Chile,882498.0
1997,2114,1997,Switzerland,Thailand,751349.0
1997,2012,1997,Finland,Thailand,589898.0
1997,2050,1997,Italy,India,585818.0
1997,2117,1997,United Kingdom,Colombia,554499.0
1997,2022,1997,France,Kuwait,530951.0
1997,1971,1997,Austria,Colombia,526285.0
1997,2061,1997,Japan,Colombia,524724.0
1997,2007,1997,Finland,India,511048.0
1997,2044,1997,Italy,Chile,460990.0
1997,2072,1997,Netherlands,Brazil,406109.0
1997,2010,1997,Finland,Poland,379535.0
1997,2093,1997,Spain,South Africa,295392.0
1997,1977,1997,Austria,Thailand,244347.0
1997,2090,1997,Spain,Korea,169705.0
1997,1970,1997,Austria,Chile,169163.0
1997,2094,1997,Spain,Thailand,109069.0
1997,2095,1997,Sweden,Chile,106572.0
1997,2057,1997,Italy,South Africa,93543.0
1997,2005,1997,Finland,Brazil,76201.0
1997,2131,1997,United States,Colombia,64351.0
1997,2039,1997,Germany,Korea,17461.0
1997,2058,1997,Italy,Thailand,4837.0
1997,2091,1997,Spain,Saudi Arabia,2836.0
1998,2246,1998,Japan,Thailand,2104730280.0
1998,2236,1998,Japan,Brazil,1102310913.0
1998,2240,1998,Japan,India,978965072.0
1998,2319,1998,United States,Brazil,559102972.0
1998,2326,1998,United States,India,531598069.0
1998,2308,1998,United Kingdom,India,531149603.0
1998,2321,1998,United States,Colombia,311969993.0
1998,2320,1998,United States,Chile,250715011.0
1998,2333,1998,United States,Thailand,246213030.0
1998,2173,1998,Canada,Poland,242223378.0
1998,2214,1998,Germany,India,176490596.0
1998,2207,1998,France,South Africa,118172965.0
1998,2316,1998,United Kingdom,South Africa,116825460.0
1998,2332,1998,United States,South Africa,93251726.0
1998,2219,1998,Germany,South Africa,84774610.0
1998,2170,1998,Canada,India,75977158.0
1998,2245,1998,Japan,South Africa,65416241.0
1998,2291,1998,Sweden,South Africa,54227424.0
1998,2211,1998,Germany,Brazil,46424433.0
1998,2329,1998,United States,Poland,46183752.0
1998,2257,1998,Netherlands,South Africa,45030404.0
1998,2254,1998,Netherlands,India,42334194.0
1998,2296,1998,Switzerland,India,37133676.0
1998,2253,1998,Netherlands,Colombia,32666191.0
1998,2317,1998,United Kingdom,Thailand,32132540.0
1998,2145,1998,Australia,India,28982875.0
1998,2176,1998,Canada,South Africa,24286113.0
1998,2196,1998,France,India,24002558.0
1998,2268,1998,Spain,Colombia,19703725.0
1998,2288,1998,Sweden,Poland,18584919.0
1998,2262,1998,Norway,India,16934493.0
1998,2261,1998,Norway,Colombia,16491006.0
1998,2300,1998,Switzerland,South Africa,16093451.0
1998,2146,1998,Australia,South Africa,15656348.0
1998,2147,1998,Australia,Thailand,14942913.0
1998,2284,1998,Sweden,India,13707263.0
1998,2263,1998,Norway,South Africa,12659111.0
1998,2165,1998,Canada,Colombia,11189004.0
1998,2266,1998,Spain,Brazil,11154032.0
1998,2312,1998,United Kingdom,Poland,10584791.0
1998,2201,1998,France,Poland,9301806.0
1998,2189,1998,France,Brazil,9051126.0
1998,2272,1998,Spain,India,8915307.0
1998,2267,1998,Spain,Chile,7960302.0
1998,2163,1998,Canada,Brazil,7578476.0
1998,2258,1998,Netherlands,Thailand,6236697.0
1998,2180,1998,Denmark,Thailand,6102191.0
1998,2259,1998,Norway,Brazil,5491972.0
1998,2161,1998,Belgium,South Africa,5318288.0
1998,2157,1998,Belgium,Brazil,5200029.0
1998,2179,1998,Denmark,South Africa,5177547.0
1998,2162,1998,Belgium,Thailand,5029250.0
1998,2160,1998,Belgium,India,4982915.0
1998,2282,1998,Sweden,Colombia,4981831.0
1998,2190,1998,France,Chile,4687089.0
1998,2221,1998,Italy,Brazil,4604762.0
1998,2177,1998,Canada,Thailand,4512400.0
1998,2178,1998,Denmark,India,4370719.0
1998,2228,1998,Italy,Korea,4180823.0
1998,2209,1998,France,Thailand,3556950.0
1998,2186,1998,Finland,Poland,3502210.0
1998,2158,1998,Belgium,Chile,3461390.0
1998,2197,1998,France,Korea,3420164.0
1998,2152,1998,Austria,Korea,3149974.0
1998,2220,1998,Germany,Thailand,3085265.0
1998,2292,1998,Sweden,Thailand,3070491.0
1998,2264,1998,Norway,Thailand,3005629.0
1998,2260,1998,Norway,Chile,2875635.0
1998,2279,1998,Spain,South Africa,2852006.0
1998,2191,1998,France,Colombia,2837864.0
1998,2164,1998,Canada,Chile,2820000.0
1998,2230,1998,Italy,Poland,2786711.0
1998,2293,1998,Switzerland,Brazil,2741200.0
1998,2294,1998,Switzerland,Chile,2609992.0
1998,2234,1998,Italy,South Africa,2555467.0
1998,2216,1998,Germany,Poland,2373989.0
1998,2148,1998,Austria,Brazil,2361485.0
1998,2301,1998,Switzerland,Thailand,2324424.0
1998,2155,1998,Austria,South Africa,2262852.0
1998,2187,1998,Finland,South Africa,2229351.0
1998,2156,1998,Austria,Thailand,2143363.0
1998,2275,1998,Spain,Poland,1537088.0
1998,2302,1998,United Kingdom,Brazil,1301518.0
1998,2204,1998,France,Saudi Arabia,1238436.0
1998,2295,1998,Switzerland,Colombia,1184722.0
1998,2237,1998,Japan,Colombia,1176022.0
1998,2151,1998,Austria,India,1162772.0
1998,2159,1998,Belgium,Colombia,1124818.0
1998,2222,1998,Italy,Chile,1108592.0
1998,2247,1998,Kuwait,India,1107033.0
1998,2150,1998,Austria,Colombia,1064212.0
1998,2304,1998,United Kingdom,Colombia,1055901.0
1998,2252,1998,Netherlands,Chile,1044311.0
1998,2212,1998,Germany,Chile,1020644.0
1998,2223,1998,Italy,Colombia,998713.0
1998,2213,1998,Germany,Colombia,943224.0
1998,2184,1998,Finland,India,925198.0
1998,2251,1998,Netherlands,Brazil,637589.0
1998,2281,1998,Sweden,Chile,611769.0
1998,2297,1998,Switzerland,Poland,514538.0
1998,2198,1998,France,Kuwait,447945.0
1998,2243,1998,Japan,Poland,433658.0
1998,2144,1998,Australia,Colombia,376009.0
1998,2181,1998,Finland,Brazil,312952.0
1998,2280,1998,Spain,Thailand,288703.0
1998,2285,1998,Sweden,Kuwait,285219.0
1998,2227,1998,Italy,India,212062.0
1998,2149,1998,Austria,Chile,172682.0
1998,2188,1998,Finland,Thailand,153630.0
1998,2153,1998,Austria,Saudi Arabia,110525.0
1998,2182,1998,Finland,Chile,93885.0
1998,2143,1998,Australia,Chile,88512.0
1998,2255,1998,Netherlands,Korea,17502.0
1998,2309,1998,United Kingdom,Korea,17296.0
1998,2303,1998,United Kingdom,Chile,17082.0
1998,2215,1998,Germany,Korea,7891.0
1998,2235,1998,Italy,Thailand,6597.0
1999,2436,1999,Japan,Korea,4562691796.0
1999,2442,1999,Japan,Thailand,3505304119.0
1999,2531,1999,United States,Saudi Arabia,2718822999.0
1999,2526,1999,United States,Korea,1151767224.0
1999,2516,1999,United States,Brazil,1127247201.0
1999,2507,1999,United Kingdom,India,713496102.0
1999,2523,1999,United States,India,604660206.0
1999,2518,1999,United States,Colombia,469529146.0
1999,2534,1999,United States,South Africa,311158982.0
1999,2433,1999,Japan,Colombia,276866697.0
1999,2373,1999,Canada,Poland,238443620.0
1999,2517,1999,United States,Chile,234657080.0
1999,2416,1999,Germany,India,231917579.0
1999,2435,1999,Japan,India,127350853.0
1999,2413,1999,Germany,Brazil,93762467.0
1999,2372,1999,Canada,India,87354748.0
1999,2376,1999,Canada,Thailand,76597832.0
1999,2488,1999,Sweden,South Africa,74587626.0
1999,2496,1999,Switzerland,India,74358121.0
1999,2514,1999,United Kingdom,South Africa,62141757.0
1999,2379,1999,Denmark,Thailand,61300292.0
1999,2403,1999,France,Poland,52808670.0
1999,2339,1999,Australia,Thailand,50735379.0
1999,2417,1999,Germany,Korea,47147387.0
1999,2420,1999,Germany,South Africa,46822801.0
1999,2463,1999,Spain,Colombia,43337642.0
1999,2414,1999,Germany,Chile,41265583.0
1999,2453,1999,Norway,South Africa,35840946.0
1999,2415,1999,Germany,Colombia,32645854.0
1999,2447,1999,Netherlands,South Africa,30782689.0
1999,2529,1999,United States,Poland,29943593.0
1999,2502,1999,United Kingdom,Brazil,27103472.0
1999,2421,1999,Germany,Thailand,27092237.0
1999,2337,1999,Australia,India,21418474.0
1999,2440,1999,Japan,South Africa,20080144.0
1999,2452,1999,Norway,India,19775444.0
1999,2391,1999,France,Brazil,19385549.0
1999,2375,1999,Canada,South Africa,18467100.0
1999,2451,1999,Norway,Colombia,18236227.0
1999,2398,1999,France,India,16048354.0
1999,2399,1999,France,Korea,14473037.0
1999,2389,1999,Finland,South Africa,14301348.0
1999,2446,1999,Netherlands,India,12356965.0
1999,2515,1999,United Kingdom,Thailand,11133025.0
1999,2486,1999,Sweden,Poland,11128947.0
1999,2378,1999,Denmark,South Africa,10820146.0
1999,2498,1999,Switzerland,South Africa,10189332.0
1999,2510,1999,United Kingdom,Poland,10046382.0
1999,2461,1999,Spain,Brazil,9989895.0
1999,2393,1999,France,Colombia,9921907.0
1999,2536,1999,United States,Thailand,9817410.0
1999,2338,1999,Australia,South Africa,9435217.0
1999,2443,1999,Netherlands,Brazil,8894723.0
1999,2450,1999,Norway,Chile,8540548.0
1999,2449,1999,Norway,Brazil,7974420.0
1999,2422,1999,Italy,Brazil,7849407.0
1999,2409,1999,France,South Africa,7668856.0
1999,2364,1999,Belgium,South Africa,7454521.0
1999,2468,1999,Spain,India,7316779.0
1999,2392,1999,France,Chile,6908336.0
1999,2368,1999,Canada,Colombia,6792501.0
1999,2411,1999,France,Thailand,6537809.0
1999,2490,1999,Sweden,Thailand,6321627.0
1999,2362,1999,Belgium,India,6184094.0
1999,2359,1999,Belgium,Brazil,6123827.0
1999,2504,1999,United Kingdom,Colombia,5471249.0
1999,2360,1999,Belgium,Chile,5262070.0
1999,2429,1999,Italy,South Africa,5166808.0
1999,2462,1999,Spain,Chile,4905441.0
1999,2480,1999,Sweden,Chile,3974282.0
1999,2477,1999,Spain,South Africa,3796794.0
1999,2493,1999,Switzerland,Colombia,3775918.0
1999,2481,1999,Sweden,Colombia,3765030.0
1999,2431,1999,Japan,Brazil,3626763.0
1999,2424,1999,Italy,Colombia,3598017.0
1999,2377,1999,Denmark,India,3188804.0
1999,2472,1999,Spain,Poland,3187411.0
1999,2445,1999,Netherlands,Colombia,3118310.0
1999,2365,1999,Belgium,Thailand,2873858.0
1999,2426,1999,Italy,Korea,2777300.0
1999,2348,1999,Austria,Korea,2764361.0
1999,2483,1999,Sweden,India,2705407.0
1999,2492,1999,Switzerland,Chile,2675998.0
1999,2361,1999,Belgium,Colombia,2592762.0
1999,2418,1999,Germany,Saudi Arabia,2550004.0
1999,2366,1999,Canada,Brazil,2438482.0
1999,2425,1999,Italy,India,2298901.0
1999,2508,1999,United Kingdom,Korea,2001032.0
1999,2454,1999,Norway,Thailand,1870793.0
1999,2340,1999,Austria,Brazil,1828353.0
1999,2423,1999,Italy,Chile,1758083.0
1999,2406,1999,France,Saudi Arabia,1521331.0
1999,2367,1999,Canada,Chile,1370263.0
1999,2342,1999,Austria,Colombia,1164840.0
1999,2500,1999,Switzerland,Thailand,1084517.0
1999,2356,1999,Austria,South Africa,1024748.0
1999,2347,1999,Austria,India,1019055.0
1999,2491,1999,Switzerland,Brazil,1015211.0
